year,month,day,temperature,completeness
2018,1,1,17.0,C
2018,1,2,18.0,C
2018,1,3,20.0,C
2018,1,4,19.2,C
2018,1,5,19.0,C
2018,1,6,15.8,C
2018,1,7,16.8,C
2018,1,8,14.5,C
2018,1,9,8.1,C
2018,1,10,12.7,C
2018,1,11,13.8,C
2018,1,12,12.3,C
2018,1,13,12.6,C
2018,1,14,14.5,C
2018,1,15,15.6,C
2018,1,16,17.8,C
2018,1,17,20.0,C
2018,1,18,19.1,C
2018,1,19,18.3,C
2018,1,20,18.8,C
2018,1,21,18.2,C
2018,1,22,20.1,C
2018,1,23,18.4,C
2018,1,24,17.2,C
2018,1,25,16.8,C
2018,1,26,16.3,C
2018,1,27,14.9,C
2018,1,28,15.6,C
2018,1,29,8.8,C
2018,1,30,8.5,C
2018,1,31,8.3,C
2018,2,1,9.4,C
2018,2,2,10.1,C
2018,2,3,9.4,C
2018,2,4,9.3,C
2018,2,5,9.0,C
2018,2,6,10.9,C
2018,2,7,12.1,C
2018,2,8,13.7,C
2018,2,9,15.4,C
2018,2,10,18.1,C
2018,2,11,16.0,C
2018,2,12,14.4,C
2018,2,13,15.2,C
2018,2,14,16.6,C
2018,2,15,19.8,C
2018,2,16,21.4,C
2018,2,17,17.1,C
2018,2,18,18.0,C
2018,2,19,21.1,C
2018,2,20,20.9,C
2018,2,21,17.9,C
2018,2,22,14.1,C
2018,2,23,14.5,C
2018,2,24,18.3,C
2018,2,25,20.6,C
2018,2,26,16.8,C
2018,2,27,18.9,C
2018,2,28,21.7,C
2018,3,1,21.2,C
2018,3,2,21.4,C
2018,3,3,21.8,C
2018,3,4,23.3,C
2018,3,5,25.6,C
2018,3,6,19.2,C
2018,3,7,18.8,C
2018,3,8,13.3,C
2018,3,9,13.9,C
2018,3,10,16.3,C
2018,3,11,17.8,C
2018,3,12,19.6,C
2018,3,13,20.6,C
2018,3,14,19.8,C
2018,3,15,22.0,C
2018,3,16,22.5,C
2018,3,17,19.1,C
2018,3,18,20.7,C
2018,3,19,22.4,C
2018,3,20,20.5,C
2018,3,21,18.0,C
2018,3,22,18.7,C
2018,3,23,20.1,C
2018,3,24,20.6,C
2018,3,25,21.4,C
2018,3,26,22.2,C
2018,3,27,22.5,C
2018,3,28,21.9,C
2018,3,29,22.4,C
2018,3,30,22.9,C
2018,3,31,22.9,C
2018,4,1,23.1,C
2018,4,2,24.1,C
2018,4,3,24.1,C
2018,4,4,24.1,C
2018,4,5,24.5,C
2018,4,6,21.7,C
2018,4,7,16.8,C
2018,4,8,19.5,C
2018,4,9,21.5,C
2018,4,10,23.2,C
2018,4,11,24.2,C
2018,4,12,25.3,C
2018,4,13,26.0,C
2018,4,14,26.4,C
2018,4,15,20.5,C
2018,4,16,17.4,C
2018,4,17,19.2,C
2018,4,18,21.8,C
2018,4,19,22.7,C
2018,4,20,22.6,C
2018,4,21,24.2,C
2018,4,22,25.0,C
2018,4,23,26.3,C
2018,4,24,24.9,C
2018,4,25,22.9,C
2018,4,26,22.7,C
2018,4,27,24.3,C
2018,4,28,24.2,C
2018,4,29,25.3,C
2018,4,30,26.1,C
2018,5,1,27.1,C
2018,5,2,28.0,C
2018,5,3,26.6,C
2018,5,4,23.2,C
2018,5,5,25.0,C
2018,5,6,27.4,C
2018,5,7,27.5,C
2018,5,8,24.7,C
2018,5,9,24.0,C
2018,5,10,22.5,C
2018,5,11,23.3,C
2018,5,12,26.1,C
2018,5,13,27.6,C
2018,5,14,28.7,C
2018,5,15,28.4,C
2018,5,16,28.5,C
2018,5,17,29.3,C
2018,5,18,29.8,C
2018,5,19,30.0,C
